id,symbol,symbolName,slug,bscContract
9977,DNLD,Donald Pump,donald-pump,0x3edd04ba36c3bb5afd8cddbbd6481ecb0cc7806c
9985,FTF,FantasyTurf,fantasyturf,0x67e0eb2f576e11ef9939b352e62381a909af04e5
9993,ORANGE,Orange Token,orange-token,0xacab3ee32aacdbc745667fb261ed7af1de5c5ecd
9994,FUCKMUSK,Fuck Musk,fuck-musk,0x29c182e9d6bcda4f7331a903defa025e7b416964
9995,HCS,Help Coins,help-coins,0x2c0af42e89b79b86050f11c47603c85c08da329a
9999,RIC,Rielcoin,rielcoin,0x5232b3f532b58fbf96ec7cbdbf10c01cb0520c87
10016,POCROC,PocketRocket,pocketrocket,0xC7FB8c5eFE8564205eE5CbA4dE8eeA8a086a4bd2
10017,SAVEANIMAL,SaveAnimal,saveanimal,0xaa2C290bF62B7d100D2D7f87b7223e3A71b737F7
10026,VCAKE,VanillaCake,vanillacake,0xb86F1e870DbE29629134Cb52f568575D819ee0a9
10041,DEEZ,deeznuts,deeznuts,0x33e1f882299ff680c73245ed6506695afd7fca88
10062,WDOGE,wDogecoin,wdogecoin,0xf40c1f421ee02a550afdd8712ef34dce97eec6f2
10065,ILUS,ILUS Coin,ilus-coin,0xa6630b22974f908a98a8139cb12ec2ebabfbe9d4
10069,SRPH,Seraphium,seraphium,0xC602A9FE2F18496AE324BfCe824C6c948Eb39974
10105,SEAS,Save Animals,save-animals,0x6ee90765bd474c7e2d8642069f1f2ed63ded6db3
10106,GBERN,BernCoin,berncoin,0x430290c7250affe0cb87442907f7edffff98c2c2
10119,DOLLY,Dolly USD,dolly-usd,0xff54da7caf3bc3d34664891fc8f3c9b6dea6c7a5
10123,NFTP,NFT TOKEN PILOT,nft-token-pilot,0x9a4448a1ba99910ebfbf9b7beac91167d76be382
10130,MRJF,MR Jobs Finder,mr-jobs-finder,0xd3082a3a20522a21a637a2f071f55bdec5465a7c
10133,GRPHT,Graphene Hands Token,graphene-hands-token,0xb45acD66a027A52eFaD32380D41B43Aba8b7E4DC
10183,DES,DeSpace Protocol,despace-protocol,0xEF213a53dA8CB0Ca64D7CD4977ea59f27f5cbD2D
10186,BSB,BSCBet Online,bscbet-online,0x9A42A3Eb9868871194d3314e73E195Bb2f3F91BB
10187,SBAG,SafeBag,safebag,0xeb6dbdb14b0045557a8587b32767ae0dace9ff73
10191,HUKKU,Hukku,hukku,0xfa01d3a2b25cdf3b1a6b2361fa07cc71a5f2fba0
10192,DORA,Doraemoon,doraemoon,0xadaf3be815cd4345229324e02e839de85ce95dc2
10214,SHEEP,SheepToken,sheeptoken,0x0025b42bfc22cbba6c02d23d4ec2abfcf6e014d4
10218,ENVIRO,Enviro,enviro,0x08a68ef8f28fbe9008adcb5bf4a7140cb1bbf23a
10219,SDUMP,Dumpling Swap,dumpling-swap,0x13f6751ba11337bc67abbdad638a56194ee133b8
10233,SRA,Sierra,sierra,0x0607396970188b2e524c1cde4af1f9a191dee150
10248,DOGOWN,Dog Owner,dog-owner,0xfa5dbe839c674c5a8a74db57ee661fade60bbf58
10286,UTP,Utopian Protocol,utopian-protocol,0xD5624373a89aCE15B19C170Eb93c6d19408c8424
10313,DBK,Dbook Platform,dbook-platform,0x70bfb40e5c78b78c7c57176b1d3a8b284b62448d
10346,SMARSUP,Secured Marsupial,secured-marsupial,0x2aada8138787eb7a8907232da6756c6ac6186ef2
10380,FETE,FETE FINANCE,fete-finance,0xb45dd6ca4962ff378102339da447e1d9d06531d4
10397,KETCHUP,Ketchup Finance,ketchup-finance,0x714a84632ed7edbbbfeb62dacf02db4beb4c69d9
